,Year,State,Fips,CountyName,Region,EstimatedValue
158,2011,Georgia,13321,Worth,Southwest,170982.68
0,2012,Georgia,13001,Appling,Southeast,234428.01
1,2012,Georgia,13003,Atkinson,Southeast,159166.12
2,2012,Georgia,13005,Bacon,Southeast,127657.77
3,2012,Georgia,13007,Baker,Southwest,122795.43
4,2012,Georgia,13009,Baldwin,Central,119136.79
5,2012,Georgia,13011,Banks,North Central,83460.43
6,2012,Georgia,13013,Barrow,North Central,46208.53
7,2012,Georgia,13015,Bartow,North,172508.52
8,2012,Georgia,13017,Ben Hill,Southwest,94846.92
9,2012,Georgia,13019,Berrien,Southwest,178982.76
10,2012,Georgia,13021,Bibb,Central,68073.32
11,2012,Georgia,13023,Bleckley,Central,79860.11
12,2012,Georgia,13025,Brantley,Southeast,244648.76
13,2012,Georgia,13027,Brooks,Southwest,173627.98
14,2012,Georgia,13029,Bryan,Southeast,199044.03
15,2012,Georgia,13031,Bulloch,Southeast,286342.53
16,2012,Georgia,13033,Burke,Central,328355.15
17,2012,Georgia,13035,Butts,Central,76979.49
18,2012,Georgia,13037,Calhoun,Central,73952.83
19,2012,Georgia,13039,Camden,Southeast,271992.54
20,2012,Georgia,13043,Candler,Southeast,83166.57
21,2012,Georgia,13045,Carroll,North Central,181031.16
22,2012,Georgia,13047,Catoosa,North,37873.33
23,2012,Georgia,13049,Charlton,Southeast,376143.33
24,2012,Georgia,13051,Chatham,Southeast,84589.42
25,2012,Georgia,13053,Chattahoochee,Central,131581.26
26,2012,Georgia,13055,Chattooga,North,184665.96
27,2012,Georgia,13057,Cherokee,North,139642.34
28,2012,Georgia,13059,Clarke,North Central,24853.31
29,2012,Georgia,13061,Clay,Central,84743.64
30,2012,Georgia,13063,Clayton,North Central,14522.28
31,2012,Georgia,13065,Clinch,Southeast,582040.56
32,2012,Georgia,13067,Cobb,North Central,21114.57
33,2012,Georgia,13069,Coffee,Southeast,208693.99
34,2012,Georgia,13071,Colquitt,Southwest,147863.27
35,2012,Georgia,13073,Columbia,Central,96601.21
36,2012,Georgia,13075,Cook,Southwest,74754.77
37,2012,Georgia,13077,Coweta,North Central,161768.42
38,2012,Georgia,13079,Crawford,Central,173712.26
39,2012,Georgia,13081,Crisp,Southwest,79137.39
40,2012,Georgia,13083,Dade,North,70909.85
41,2012,Georgia,13085,Dawson,North,100124.7
42,2012,Georgia,13087,Decatur,Southwest,174174.32
43,2012,Georgia,13089,DeKalb,North Central,45937.14
44,2012,Georgia,13091,Dodge,Southeast,221989.11
45,2012,Georgia,13093,Dooly,Southwest,90082.28
46,2012,Georgia,13095,Dougherty,Central,140430.83
47,2012,Georgia,13097,Douglas,North Central,65442.64
48,2012,Georgia,13099,Early,Southwest,174217.99
49,2012,Georgia,13101,Echols,Southeast,234648.64
50,2012,Georgia,13103,Effingham,Southeast,229846.02
51,2012,Georgia,13105,Elbert,North Central,130069.3
52,2012,Georgia,13107,Emanuel,Southeast,326139.1
53,2012,Georgia,13109,Evans,Southeast,74991.92
54,2012,Georgia,13111,Fannin,North,202646.73
55,2012,Georgia,13113,Fayette,North Central,33547.62
56,2012,Georgia,13115,Floyd,North,189579.83
57,2012,Georgia,13117,Forsyth,North Central,57870.12
58,2012,Georgia,13119,Franklin,North Central,79634.38
59,2012,Georgia,13121,Fulton,North Central,111386.37
60,2012,Georgia,13123,Gilmer,North,242448.32
61,2012,Georgia,13125,Glascock,Central,71852.45
62,2012,Georgia,13127,Glynn,Southeast,138396.27
63,2012,Georgia,13129,Gordon,North,105309.46
64,2012,Georgia,13131,Grady,Southwest,140136.67
65,2012,Georgia,13133,Greene,Central,204161.3
66,2012,Georgia,13135,Gwinnett,North Central,83626.26
67,2012,Georgia,13137,Habersham,North,107670.09
68,2012,Georgia,13139,Hall,North Central,105485.67
69,2012,Georgia,13141,Hancock,Central,261789.85
70,2012,Georgia,13143,Haralson,North Central,100960.86
71,2012,Georgia,13145,Harris,Central,214522.6
72,2012,Georgia,13147,Hart,North Central,55696.75
73,2012,Georgia,13149,Heard,North Central,124997.08
74,2012,Georgia,13151,Henry,North Central,80036.68
75,2012,Georgia,13153,Houston,Central,127737.35
76,2012,Georgia,13155,Irwin,Southwest,104883.69
77,2012,Georgia,13157,Jackson,North Central,107717.86
78,2012,Georgia,13159,Jasper,Central,201615.93
79,2012,Georgia,13161,Jeff Davis,Southeast,150428.66
80,2012,Georgia,13163,Jefferson,Central,240091.65
81,2012,Georgia,13165,Jenkins,Southeast,144272.13
82,2012,Georgia,13167,Johnson,Southeast,150291.86
83,2012,Georgia,13169,Jones,Central,196410.57
84,2012,Georgia,13171,Lamar,Central,91045.46
85,2012,Georgia,13173,Lanier,Southwest,98688.23
86,2012,Georgia,13175,Laurens,Southeast,326466.05
87,2012,Georgia,13177,Lee,Central,126566.86
88,2012,Georgia,13179,Liberty,Southeast,217941.73
89,2012,Georgia,13181,Lincoln,Central,102649.96
90,2012,Georgia,13183,Long,Southeast,223895.96
91,2012,Georgia,13185,Lowndes,Southwest,206018.15
92,2012,Georgia,13187,Lumpkin,North,144814.67
93,2012,Georgia,13189,McDuffie,Central,115550.32
94,2012,Georgia,13191,McIntosh,Southeast,162872.41
95,2012,Georgia,13193,Macon,Central,142045.91
96,2012,Georgia,13195,Madison,North Central,94904.2
97,2012,Georgia,13197,Marion,Central,170430.81
98,2012,Georgia,13199,Meriwether,North Central,250596.03
99,2012,Georgia,13201,Miller,Southwest,70073.82
100,2012,Georgia,13205,Mitchell,Southwest,135526.03
101,2012,Georgia,13207,Monroe,Central,186194.92
102,2012,Georgia,13209,Montgomery,Southeast,135970.71
103,2012,Georgia,13211,Morgan,Central,154823.27
104,2012,Georgia,13213,Murray,North,135300.66
105,2012,Georgia,13215,Muscogee,Central,66233.77
106,2012,Georgia,13217,Newton,North Central,68383.92
107,2012,Georgia,13219,Oconee,North Central,65909.68
108,2012,Georgia,13221,Oglethorpe,North Central,224626.57
109,2012,Georgia,13223,Paulding,North Central,111004.45
110,2012,Georgia,13225,Peach,Central,35451.95
111,2012,Georgia,13227,Pickens,North,120672.79
112,2012,Georgia,13229,Pierce,Southeast,109627.55
113,2012,Georgia,13231,Pike,Central,95660.71
114,2012,Georgia,13233,Polk,North Central,129226.32
115,2012,Georgia,13235,Pulaski,Central,80652.42
116,2012,Georgia,13237,Putnam,Central,142530.01
117,2012,Georgia,13239,Quitman,Central,89168.73
118,2012,Georgia,13241,Rabun,North,225749.65
119,2012,Georgia,13243,Randolph,Central,169861.82
120,2012,Georgia,13245,Richmond,Central,121398.62
121,2012,Georgia,13247,Rockdale,North Central,21903.73
122,2012,Georgia,13249,Schley,Central,111485.12
123,2012,Georgia,13251,Screven,Southeast,322718.06
124,2012,Georgia,13253,Seminole,Southwest,40299.51
125,2012,Georgia,13255,Spalding,North Central,78135.5
126,2012,Georgia,13257,Stephens,North,92635.57
127,2012,Georgia,13259,Stewart,Central,234718.99
128,2012,Georgia,13261,Sumter,Central,184647.07
129,2012,Georgia,13263,Talbot,Central,207273.59
130,2012,Georgia,13265,Taliaferro,Central,117557.65
131,2012,Georgia,13267,Tattnall,Southeast,180535.0
132,2012,Georgia,13269,Taylor,Central,223493.49
133,2012,Georgia,13271,Telfair,Southeast,251025.85
134,2012,Georgia,13273,Terrell,Central,158576.55
135,2012,Georgia,13275,Thomas,Southwest,190660.39
136,2012,Georgia,13277,Tift,Southwest,78395.3
137,2012,Georgia,13279,Toombs,Southeast,151868.65
138,2012,Georgia,13281,Towns,North,68557.52
139,2012,Georgia,13283,Treutlen,Southeast,107218.58
